ID,Name (in Turkey),Name (in English),Ingredients of a standard portion for a 3-6 year-old child (in Turkey),Ingredients of a standard portion for a 3-6 year-old child (in English),Ingredients of a standard portion for a 7-12 year-old child (in Turkey),Ingredients of a standard portion for a 7-12 year-old child (in English),Ingredients of a standard portion for a 13-15 year-old child (in Turkey),Ingredients of a standard portion for a 13-15 year-old child (in English),Ingredients of a standard portion for a 16-18 year-old child (in Turkey),Ingredients of a standard portion for a 16-18 year-old child (in English),Ingredients of a standard portion for an adult (in Turkey),Ingredients of a standard portion for an adult (in English),Recipe (in Turkey),Recipe (in English),Tip (in Turkey),Tip (in English),Kcal,Protein,Fat,Carbohydrates,Dish type,For Autumn,For Winter,For Spring,For Summer,White meat,Red meat,Pork,Fish or seafood,Pulses (Legumes),Dairy,Eggs,Pasta,Rice,Tubers,Soups,Cereals,Fruit,Nuts,Raw vegetables,Cooked vegetables,Protein mix,Unique,Semiunique,Vegetables for semi,Red,Green,White,Yellow,Purple,Multicolor,No color,For proposals,For school
251,Zeytinyağlı Biber Dolması,Stuffed peppers with olive oil,,,"dolmalık biber: 60 g
dolmalık fıstık: 2 g
tarçın: 0.5 g
kuru nane: 1 g
kuş üzümü: 2 g
tuz: 1 g
zeytinyağı: 10 ml
pirinç: 20 g
soğan: 15 g su: 75 ml domates: 10 g","bell pepper: 60 g
pine nuts: 2 g
 cinnamon: 0.5 g
dried mint: 1 g
currants: 2 g
salt: 1 g
olive oil: 10 ml
rice: 20 g
onions: 15g water: 75 ml tomatoes: 10 g","dolmalık biber: 80 g
dolmalık fıstık: 5 g
tarçın: 1 g
kuru nane: 2 g
kuş üzümü: 4 g
tuz: 2 g
zeytinyağı: 15 ml
pirinç: 30 g
soğan: 30 g su:100 ml domates: 20 g","bell pepper: 80 g
pine nuts: 5 g
cinnamon: 1 g
dried mint: 2 g
currants: 4 g
salt: 2 g
olive oil: 15 ml
 rice: 30 g
onions: 30 g water: 100 ml  tomatoes: 20 g","dolmalık biber: 80 g
dolmalık fıstık: 5 g
tarçın: 1 g
kuru nane: 2 g
kuş üzümü: 4 g
tuz: 2 g
zeytinyağı: 15 ml
pirinç: 30 g
soğan: 30 g su:100 ml domates: 20 g","bell pepper: 80 g
pine nuts: 5 g
cinnamon: 1 g
dried mint: 2 g
currants: 4 g
salt: 2 g
olive oil: 15 ml
 rice: 30 g
onions: 30 g water: 100 ml  tomatoes: 20 g","dolmalık biber: 80 g
dolmalık fıstık: 5 g
tarçın: 1 g
kuru nane: 2 g
kuş üzümü: 4 g
tuz: 2 g
zeytinyağı: 15 ml
pirinç: 30 g
soğan: 30 g su:100 ml domates: 20 g","bell pepper: 80 g
pine nuts: 5 g
cinnamon: 1 g
dried mint: 2 g
currants: 4 g
salt: 2 g
olive oil: 15 ml
 rice: 30 g
onions: 30 g water: 100 ml  tomatoes: 20 g ","Soğanı doğrayın. Pirinçleri yıkayın. Kuş üzümlerini bir kaseye koyup, üzerine kaynar su ekleyin. Kuş üzümlerini kaseden alın. Dolmalık biber  ve domates hariç tüm malzemleri karıştırın. Dolmalık yeşil biberlerin içlerini harçla doldurun. Üzerini domatesle kapatın. Dolmaları dik bir şekilde tencereye dizin. Üzerine pişirme suyu olarak kaynar su ekleyin ve pişirin.",Chop the onion. Wash the rice. Put the currants in a bowl and add boiling water to it. Take the currants out of the bowl. Mix all ingredients except bell pepper and tomato. Stuff the green bell peppers with the mortar. Cover it with tomatoes. Arrange the stuffing upright in the pan. Add boiling water as cooking water on it and cook.,,,273,3.5,19.4,21.15,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
252,Etli Sebzeli Şehriye Pilavı,Meat and Vegetable Noodle Rice,,,"Dana Eti: 30 g 
Su: 40 ml
zeytinyağı: 2 ml
şehriye: 40 g
Et Suyu: 60 ml
Tereyağı: 1 g
 tuz: 1 g
Karabiber: 0.5 g havuç: 30 g","Beef: 30 g
Water: 40 ml
olive oil: 2 ml
noodle: 40 g
Broth: 60 ml
 Butter: 1 g
salt: 1 g
Black Pepper: 0.5 g carrot: 30 g","Dana Eti: 40 g
Su: 60 ml
zeytinyağı: 3 ml
şehriye: 50 g
Et Suyu: 70 ml
Tereyağı: 2 g
 tuz: 1 g
Karabiber: 0.5 g havuç: 60 g","Beef: 40 g
Water: 60 ml
olive oil: 3 ml
noodle: 50 g
Broth: 70 ml
 Butter: 2 g
 salt: 1 g
Black Pepper: 0.5 g carrot: 60 g"," Dana Eti: 50 g
Su: 70 ml
zeytinyağı: 5 ml
şehriye: 70 g
 Et Suyu: 100 ml
Tereyağı: 3 g
tuz: 2 g
 Karabiber: 1 g havuç: 100 g","Beef: 50 g
Water: 70 ml
olive oil: 5 ml
noodle: 70 g
Broth: 100 ml
Butter: 3 g
 salt: 2 g
Black Pepper: 1 g carrot: 100 g"," Dana Eti: 50 g
Su: 70 ml
zeytinyağı: 5 ml
şehriye: 70 g
 Et Suyu: 100 ml
Tereyağı: 3 g
tuz: 2 g
 Karabiber: 1 g havuç: 100 g","Beef: 50 g
Water: 70 ml
olive oil: 5 ml
noodle: 70 g
Broth: 100 ml
Butter: 3 g
 salt: 2 g
Black Pepper: 1 g carrot: 100 g",Tencereye sıvı yağı alın ve kuşbaşı doğranan etleri ekleyin. Eti soteleyin.Üzerine suyu dökün ve tencerenin kapağını kapatın. 15 dakika pişirin. Pişen etin suyunu süzün. Aynı tencerede tereyağını eritin. Üzerine havucu ve şehriyeyi ekleyip soteleyin. Üzerine eti ekleyin ve et suyunu da dökün. Baharatları ekleyerek kısık ateşte 20 dakika pişirin.,"Take oil in the pan and add the cubed meat. Saute the meat. Pour the water on it and close the lid of the pot. Bake for 15 minutes. Drain the cooked meat. In the same saucepan, melt the butter. Add the carrot and vermicelli on it and sauté. Add the meat on it and pour the broth. Add the spices and cook on low heat for 20 minutes.",,,399,17,18,40,,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
253,Yeşil elma,Green apple ,,,100 g,100 g,150 g,150 g,200 g,200 g,200 g,200 g,,,,,60,,,15,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
254,Ceviz,Walnut,,,10 g,10 g,15 g,15 g,30 g,30 g,30 g,30 g,,,,,90,,10,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
255,Kuru Üzüm,Raisins,,,30g,30g,30g,30g,45g,45g,45g,45g,,,,,90,,,22.5,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
256,Antep Fıstığı,Pistachios,,,20 g,20 g,30 g,30 g,60 g,60 g,60 g,60 g,,,,,90,,10,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
257,Tam Buğday Ekmek,Whole wheat bread,,,25 g,25 g,40 g,40 g,50 g,50 g,50 g,50 g,,,,,136,4,,30,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
258,Tam Yağlı Peynir,Full fat cheese,,,30 g,30 g,45 g,45 g,60 g,60 g,60 g,60 g,,,,,138,12,10,,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
259,Ezogelin Çorbası,Ezogelin soup,,,"salça: 3 g
zeytinyağı: 3 ml
un: 2 g
su: 120 ml
tuz: 1 g
limon suyu: 2 ml
soğan: 10 g
bulgur: 5 g
kırmızı mercimek: 5 g
kuru nane: 1 g","tomato paste: 3 g
olive oil: 3 ml
flour: 2 g
water: 120 ml
salt: 1 g
lemon juice: 2 ml
onions: 10 g
bulgur: 5 g
red lentils: 5 g
dried mint: 1 g","salça: 5 g
zeytinyağı: 5 ml
un: 3 g
su: 180 ml
tuz: 2 g
limon suyu: 3 ml
soğan: 15 g
bulgur: 10 g
kırmızı mercimek: 10 g
kuru nane: 2 g","tomato paste: 5 g
olive oil: 5 ml
flour: 3 g
water: 180 ml
salt: 2 g
lemon juice: 3 ml
onions: 15 g
bulgur: 10 g
red lentils: 10 g
dried mint: 2 g","salça: 5 g
zeytinyağı: 5 ml
un: 3 g
su: 180 ml
tuz: 2 g
limon suyu: 3 ml
soğan: 15 g
bulgur: 10 g
kırmızı mercimek: 10 g
kuru nane: 2 g","tomato paste: 5 g
olive oil: 5 ml
flour: 3 g
water: 180 ml
salt: 2 g
lemon juice: 3 ml
onions: 15 g
bulgur: 10 g
red lentils: 10 g
dried mint: 2 g","salça: 5 g
zeytinyağı: 5 ml
un: 3 g
su: 180 ml
tuz: 2 g
limon suyu: 3 ml
soğan: 15 g
bulgur: 10 g
kırmızı mercimek: 10 g
kuru nane: 2 g","tomato paste: 5 g
olive oil: 5 ml
flour: 3 g
water: 180 ml
salt: 2 g
lemon juice: 3 ml
onions: 15 g
bulgur: 10 g
red lentils: 10 g
dried mint: 2 g","Suyu ve ayıklayıp yıkadığınız mercimeği ve bulguru tencereye koyun. Kaynatın. Tencereye, rendelediğiniz soğanı ve tuzu ilave edip, 40 dakika pişirin.Tavada yağın üzerine unu ilave edin ve kavurun. Salça, naneyi koyup, içine sıcak çorbadan ekleyerek ezin. Salçalı karışımı çorbaya ilave edin. Kaynayıncaya kadar karıştırarak pişirin. Limon suyu ile sıcak servis yapın","Put the water and the lentils and bulgur that you have cleaned and washed in the pot. Boil. Add the grated onion and salt to the pot and cook for 40 minutes. Add the flour to the oil in the pan and fry it. Put the tomato paste, mint, add the hot soup and mash. Add the tomato paste mixture to the soup. Stir and cook until it boils. Serve hot with lemon juice",,,95,3.96,2.46,12.49,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
260,Limonlu Tavuk,Lemon chicken,,,"tavuk göğsü: 100 g
zeytinyağı: 2 ml
 biberiye: 1 g
karabiber: 1 g
 tuz: 1 g
tereyağı: 2 g
sarımsak: 1 g
limon: 10 g
 ceviz: 5 g
maydanoz: 5 g","chicken breast: 100 g olive oil: 2 ml
rosemary: 1 g
black pepper: 1 g
salt: 1 g
butter: 2 g
garlic: 1 g
lemon: 10 g
 walnuts: 5 g
parsley: 5 g","tavuk göğsü: 150 g zeytinyağı: 3 ml biberiye: 1 g
karabiber: 1 g
tuz: 1 g
tereyağı: 3 g
sarımsak: 1 g
limon: 20 g
ceviz: 5 g
 maydanoz: 5 g","chicken breast: 150 g
olive oil: 3 ml
rosemary: 1 g
black pepper: 1 g
salt: 1 g
butter: 3 g
garlic: 1 g
lemon: 20 g
walnuts: 5 g
parsley: 5 g","tavuk göğsü: 200 g
zeytinyağı: 5 ml
biberiye: 2 g
karabiber: 2g
tuz: 2 g
tereyağı: 5 g
sarımsak: 2 g
 imon: 30 g
ceviz: 10 g
maydanoz: 10 g","chicken breast: 200 g
olive oil: 5 ml rosemary: 2 g
black pepper: 2 g
salt: 2 g
butter: 5 g
garlic: 2 g
lemon: 30 g
walnuts: 10 g
parsley: 10 g","tavuk göğsü: 200 g
zeytinyağı: 5 ml
biberiye: 2 g
karabiber: 2g
tuz: 2 g
tereyağı: 5 g
sarımsak: 2 g
 imon: 30 g
ceviz: 10 g
maydanoz: 10 g","chicken breast: 200 g
olive oil: 5 ml rosemary: 2 g
black pepper: 2 g
salt: 2 g
butter: 5 g
garlic: 2 g
lemon: 30 g
walnuts: 10 g
parsley: 10 g","Yıkadığınız tavuk göğüslerini ince ince dilimleyin. Üzerlerini kuruladıktan sonra zeytinyağı, biberiye, karabiber ve tuz ile harmanlayın. Tavukları yağlı kağıt üzerinde fırın tepsisine dizin. Üzerine tereyağı sürün. Sos için maydanozu incecik kıyın. Sarımsağı ve limon kabuklarını rendeleyin. Limonun suyunu sıkın. Sosu tavukların üzerine ekleyin. 200 derece fırında tavuklar kızarana kadar pişirin.","Thinly slice the washed chicken breasts. After drying them, mix them with olive oil, rosemary, black pepper and salt. Place the chickens on a baking tray on parchment paper. Spread butter on it. Finely chop the parsley for the sauce. Grate the garlic and lemon peels. Squeeze the juice of the lemon. Add the sauce over the chicken. Bake the chicken in the oven at 200 degrees until golden brown.",,,371,53,16.5,3,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
261,Pancar Salatası,Beet salad,,,"pancar: 15 g
zeytinyağı: 2 ml
ceviz: 5 g
tuz: 1 g
dereotu: 5 g
yoğurt: 100 g","beets: 15 g
olive oil: 2 ml
walnuts: 5 g
salt: 1 g
dill: 5 g
yoghurt: 100 g","pancar: 20 g
zeytinyağı: 3 ml
ceviz: 5 g
tuz: 1 g
dereotu: 8 g
yoğurt: 150 g","beets: 20 g
olive oil: 3 ml
walnuts: 5 g
salt: 1 g
dill: 8 g
 yoghurt: 150 g","pancar: 30 g
zeytinyağı: 5 ml
ceviz: 10 g
tuz: 2 g
dereotu: 10 g
yoğurt: 200 g","beets: 30 g
olive oil: 5 ml
walnuts: 10 g
salt: 2 g
dill: 10 g
yoghurt: 200 g","pancar: 30 g
zeytinyağı: 5 ml
ceviz: 10 g
tuz: 2 g
dereotu: 10 g
yoğurt: 200 g","beets: 30 g
olive oil: 5 ml
walnuts: 10 g
salt: 2 g
dill: 10 g
yoghurt: 200 g","Pancarların kabuklarını ince ince soyun, ardından rendeleyin. Zeytinyağını tavaya alın. Rendelenmiş pancarları soteleyin.
Pancarlar yumuşadığında ocağı kapatın ve soğuması için kenara alın.
Bir kasede yoğurt ve tuzu karıştırın. Yoğurt karışımına kıyılmış dereotu ve pancarı ekleyin. İyice karıştırın. Üzerine ceviz ekleyin.","Finely peel the beets, then grate them. Take the olive oil in the pan. Saute the grated beets. When the beets are soft, turn off the stove and set aside to cool. Mix yogurt and salt in a bowl. Add the chopped dill and beetroot to the yogurt mixture. Mix it well. Add walnuts to it.",,,210,6,15,12.75,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
262,Zeytinyağlı Barbunya,Kidney beans with olive oil,,,"taze barbunya: 120 g
zeytinyağı: 5 ml
soğan: 10 g
patates: 10 g
havuç: 20 g
domates: 20 g
sıcak su: 20 g
salça: 0.5 g
tuz: 1 g","fresh kidney beans: 120 g
olive oil: 5 ml
onions: 10 g
potatoes: 10 g
carrots: 20 g
tomatoes: 20 g
 hot water: 20 g
tomato paste: 0.5 g
salt: 1 g","taze barbunya: 200 g
zeytinyağı: 10 ml
soğan: 20 g
patates: 20 g
havuç: 40 g
domates: 40 g
sıcak su: 40 ml
salça: 1 g
tuz: 2 g","fresh kidney beans: 200 g
olive oil: 10 ml
onions: 20 g
potatoes: 20 g
carrots: 40 g
tomatoes: 40 g
hot water: 40 ml
tomato paste: 1 g
salt: 2 g","taze barbunya: 200 g
zeytinyağı: 10 ml
soğan: 20 g
patates: 20 g
havuç: 40 g
domates: 40 g
sıcak su: 40 ml
salça: 1 g
tuz: 2 g","fresh kidney beans: 200 g
olive oil: 10 ml
onions: 20 g
potatoes: 20 g
carrots: 40 g
tomatoes: 40 g
hot water: 40 ml
tomato paste: 1 g
salt: 2 g","taze barbunya: 200 g
zeytinyağı: 10 ml
soğan: 20 g
patates: 20 g
havuç: 40 g
domates: 40 g
sıcak su: 40 ml
salça: 1 g
tuz: 2 g","fresh kidney beans: 200 g
olive oil: 10 ml
onions: 20 g
potatoes: 20 g
carrots: 40 g
tomatoes: 40 g
hot water: 40 ml
tomato paste: 1 g
salt: 2 g",Barbunyayı haşlayın. Yağda soğanları soteleyin. Patates ve havucu küp küp doğrayın. Salça ilave edin. Haşlanmış barbunyaları tencereye ekleyin. Rendelenmiş domatesi ve tuzu ekleyin. Kısık ateşte pişirin.,Boil the kidney beans. Saute the onions in oil. Chop the potato and carrot into cubes. Add salt. Add the boiled kidney beans to the pot. Add the grated tomatoes and salt. Cook on low heat.,,,134,5,5,18,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
263,İzmir Köfte,Izmir meatball,,,"kıyma: 30 g
ekmek: 5 g
soğan: 5 g
yumurta: 10 g
domates: 20 g
yeşil biber: 10 g
zeytinyağı: 2 ml
salça: 1 g
su: 25 ml
tuz: 1 g
karabiber: 1 g","minced meat: 30 g
bread: 5 g
onion: 5 g
eggs: 10 g
tomatoes: 20 g
green pepper: 10 g
olive oil: 2 ml
tomato paste: 1 g
water: 25 ml
salt: 1 g
black pepper: 1 g"," kıyma: 60 g
ekmek: 10 g
soğan: 10 g
yumurta: 20 g
domates: 40 g
yeşil biber: 20 g
zeytinyağı: 5 ml
salça: 2 g
su: 50 ml
tuz: 2 g
karabiber: 2 g","minced meat: 60 g
of bread: 10 g
onion: 10 g
eggs: 20 g
tomatoes: 40 g
green pepper: 20 g
olive oil: 5 ml
tomato paste: 2 g
water: 50 ml
salt: 2 g
black pepper: 2 g"," kıyma: 60 g
ekmek: 10 g
soğan: 10 g
yumurta: 20 g
domates: 40 g
yeşil biber: 20 g
zeytinyağı: 5 ml
salça: 2 g
su: 50 ml
tuz: 2 g
 karabiber: 2 g","minced meat: 60 g
of bread: 10 g
onion: 10 g
eggs: 20 g
tomatoes: 40 g
green pepper: 20 g
olive oil: 5 ml
tomato paste: 2 g
water: 50 ml
salt: 2 g
black pepper: 2 g"," kıyma: 60 g
ekmek: 10 g
soğan: 10 g
yumurta: 20 g
domates: 40 g
yeşil biber: 20 g
zeytinyağı: 5 ml
salça: 2 g
su: 50 ml
tuz: 2 g
 karabiber: 2 g","minced meat: 60 g
of bread: 10 g
onion: 10 g
eggs: 20 g
tomatoes: 40 g
green pepper: 20 g
olive oil: 5 ml
tomato paste: 2 g
water: 50 ml
salt: 2 g
black pepper: 2 g","Kıymayı, yumurtayı, ekmek içini, tuzu, karabiberi ve rendelenmiş soğanı bir kaba koyun ve karıştırarak yoğurun. Köfte hamurundan uzun köfteler hazırlayın. Yağı ve salçayı koyup pişirin. Üzerine suyu koyun.  Su kaynayınca, köfteleri, dizin. Köftelerin üzerine yuvarlak kesilmiş domatesleri ve iki-üç parçaya kesilmiş biberleri ekleyin. Tencerenin kapağını kapatın. Kısık ateşte pişirin.","Put the minced meat, egg, bread crumbs, salt, pepper and grated onion in a bowl and knead by mixing. Prepare long meatballs from meatball dough. Add oil and tomato paste and cook. Put water on it. When the water boils, arrange the meatballs. Add the round cut tomatoes and the pepper cut into two or three pieces on the meatballs. Close the lid of the pot. Cook on low heat.",,,197,13.85,12.63,6.43,,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
264,Semizotu Salatası,Purslane salad,,,"semizotu: 80 g
zeytinyağı: 2 ml
sarımsak: 2 g
yoğurt: 50 g
tuz: 0.5 g","purslane: 80 g
olive oil: 2 ml
garlic: 2 g
yoghurt: 50 g
salt: 0.5 g","semizotu: 100 g
zeytinyağı: 3 ml
sarımsak: 3 g
 yoğurt: 80 g
tuz: 1 g","purslane: 100 g
olive oil: 3 ml
garlic: 3 g
yoghurt: 80 g
salt: 1 g","semizotu: 120 g
zeytinyağı: 5 ml
sarımsak: 5 g
 yoğurt: 100 g
tuz: 1 g","purslane: 120 g
olive oil: 5 ml
garlic: 5 g
yoghurt: 100 g
salt: 1 g","semizotu: 120 g
zeytinyağı: 5 ml
sarımsak: 5 g
 yoğurt: 100 g
tuz: 1 g","purslane: 120 g
olive oil: 5 ml
garlic: 5 g
yoghurt: 100 g
salt: 1 g","Semizotlarını yıkayın, doğrayın. Sarımsakları ezin. Tüm malzemeleri karıştırın.",Wash and chop the purslane. Crush the garlic. Mix all the ingredients.,,,100,3.6,6,8,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
265,Kuru Fasulye,Haricot bean,,,"zeytinyağı: 2 ml
su: 100 ml
salça: 2 g
kuru fasulye: 80 g
soğan: 30 g
tuz: 0.5 g
karabiber: 0.5 g","olive oil: 2 ml
water: 100 ml
tomato paste: 2 g
dried beans: 80 g
onions: 30 g
salt: 0.5 g
black pepper: 0.5 g","zeytinyağı: 3 ml
su: 150 ml
salça: 5 g
kuru fasulye: 130 g
soğan: 50 g
tuz: 1 g
karabiber: 1 g","olive oil: 3 ml
water: 150 ml
tomato paste: 5 g
dried beans: 130 g
onions: 50 g
salt: 1 g
black pepper: 1 g","zeytinyağı: 3 ml
su: 150 ml
salça: 5 g
kuru fasulye: 130 g
soğan: 50 g
tuz: 1 g
karabiber: 1 g","olive oil: 3 ml
water: 150 ml
tomato paste: 5 g
dried beans: 130 g
onions: 50 g
salt: 1 g
black pepper: 1 g","zeytinyağı: 3 ml
su: 150 ml
salça: 5 g
kuru fasulye: 130 g
soğan: 50 g
tuz: 1 g
karabiber: 1 g","olive oil: 3 ml
water: 150 ml
tomato paste: 5 g
dried beans: 130 g
onions: 50 g
salt: 1 g
black pepper: 1 g",Önceden suda beklettiğiniz kuru fasulyelerin üzerini geçecek şekilde tancereye su koyun ve kaynatın. Soğanları doğrayın. Başka bir tencereye soğanları ve yağı koyup soteleyin. Üzerine salçayı ilave edin ve soteleyin. Tuzu ve karabiberi de ekleyip bir kaç kez daha karıştırın. Fasulyeleri ve sıcak suyu tencereye ekleyip kaynatmaya devam edin. Fasulyeler iyice pişince ocağı kapatın.,"Put water in the pot so that it covers the dried beans you have previously soaked in water and bring it to a boil. Chop the onions. In another pot, put the onions and oil and sauté. Add the tomato paste and sauté. Add salt and pepper and mix a few more times. Add the beans and hot water to the pot and continue to boil. Turn off the stove when the beans are fully cooked.",,,267,18,3.7,27.25,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
266,Kuskus Pilavı,Couscous rice,,,"arpa şehriye: 5 g
kuskus: 25 g
su: 50 ml
zeytinyağı: 1 ml
tuz: 0.5 g","barley vermicelli: 5 g
couscous: 25 g
water: 50 ml
olive oil: 1 ml
salt: 0.5 g","arpa şehriye: 8 g
kuskus: 40g
su: 80 ml
zeytinyağı: 2 ml
tuz: 0.5 g","barley vermicelli: 8 g
couscous: 40 g
water: 80 ml
olive oil: 2 ml
salt: 0.5 g","arpa şehriye: 10 g
kuskus: 50g
su: 100 ml
zeytinyağı: 3 ml
tuz: 1 g","barley vermicelli: 10 g
couscous: 50g
water: 100 ml
olive oil: 3 ml
salt: 1 g","arpa şehriye: 10 g
kuskus: 50g
su: 100 ml
zeytinyağı: 3 ml
tuz: 1 g","barley vermicelli: 10 g
couscous: 50g
water: 100 ml
olive oil: 3 ml
salt: 1 g","Şehriyeyi yağda kavurun, üzerine kuskusları ekleyin ve kavurmaya devam edin. Daha sonra kaynamış suyu ilave edip tuzu ekleyin. Kısık ateşte suyunu çekene kadar pişir","Fry the vermicelli in oil, add the couscous and continue frying. Then add boiled water and add salt. Cook on low heat until it boils",,,380,11.8,3.75,72.7,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
